Marker Loglikelihood AverageProb Beta_0 NumError 
M0 -105.3876470190296888718 0.02233502538071065989916 -3.779010958439809702647 0 
M1 -134.2817649455455005364 0.03045685279187817258807 -3.460513958818574872106 0 
M2 -305.6816507432821908852 0.9065989847715736040445 2.272798003827458737224 0 
M3 -200.6579159798279259341 0.9482233502538071066076 2.90765080550451684928 0 
M4 0 0 0 5 
M5 -587.981476684468257643 0.2842639593908629441711 -0.9234081996430190448664 0 
M6 -523.1489434796880940715 0.223350253807106598978 -1.24624828747417430014 0 
M7 -563.3073026151300072839 0.7411167512690355329836 1.05178098898401066691 0 
M8 -644.9851179171476290852 0.3624365482233502538012 -0.5648043846885595995616 0 
M9 -289.4713727609509736904 0.9137055837563451776793 2.359743506833994295931 0 
M10 -289.4713727609509736904 0.9137055837563451776793 2.359743506833994295931 0 
M11 -93.83141210105279458875 0.01928934010152284264018 -3.928724855046077536714 0 
M12 -354.995727658426210388 0.116751269035532994924 -2.023561083285379337158 0 
M13 -182.8251217666365535663 0.9543147208121827411052 3.039217385493729822873 0 
M14 -89.875379809040970569 0.9817258883248730964529 3.983826737557129633654 0 
M15 -344.7532757544291377727 0.111675126903553299489 -2.073743520565198200862 0 
M16 -231.467901235579330485 0.06294416243654822335217 -2.700494849457760601933 0 
M17 -97.7337532913063091744 0.979695431472081218287 3.876395827784994933081 0 
M18 -284.7259490109033815974 0.08426395939086294416162 -2.385773912266025733849 0 
M19 -123.7402498763062615034 0.02741116751269035533079 -3.569010911966531470396 0 
M20 -359.0232578579861348056 0.1187817258883248730967 -2.004017779862594051061 0 
M21 -7.89213385509017939512 0.9989847715736040609171 6.891625897052253423535 0 
M22 -265.2058224843691552342 0.07614213197969543147101 -2.495956485974585284523 0 
M23 -97.73375329130630927849 0.02030456852791878172651 -3.876395827784994933081 0 
M24 -682.4326798975212620135 0.4873096446700507614091 -0.05077232537342321240598 0 
M25 -206.4323618492741073543 0.05380710659898477157524 -2.867040901133469350077 0 
M26 -399.0705196325232296806 0.8598984771573604060668 1.814447009494849701668 0 
M27 -448.3336585398623541643 0.8304568527918781726074 1.588868524185991947819 0 
M28 -553.6252951344251870269 0.7502538071065989847843 1.099966385015838969512 0 
M29 -682.7494652372457330514 0.5005076142131979695686 0.002030457550381993334607 0 
M30 -543.5043355805724793472 0.7593908629441624365307 1.149342836839346057576 0 
M31 -432.0785332838281578294 0.8406091370558375634368 1.662767349036951634975 0 
M32 -627.4275390053777843868 0.6659898477157360406294 0.6901030381787171496502 0 
M33 -112.8553176057057686604 0.02436548223350253807181 -3.689920578622346872223 0 
M34 -681.9776897775952687608 0.4802030456852791878285 -0.07922923654757481721843 0 
M35 -73.45021322901743877215 0.01421319796954314720771 -4.239269138676066296829 0 
M36 -557.981970167510982872 0.7461928934010152284525 1.07840958135059024304 0 
M37 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M38 -528.0873156062356998386 0.2274111675126903553233 -1.222987306006645984147 0 
M39 -60.3805588058962846229 0.01116751269035532994958 -4.483516030844164556267 0 
